pk_id,id_source_bill,id_own_org
10907434497435417978,15347364882018258967,10546443563957342650
10907434497435417480,15347362960200749107,10546443563957342650
10907434497488707231,15371632657976840197,10546443563714122199
10907434497488709273,15371636950112985104,10546443563674358804
10907434497488710731,15371639586434371654,10546443563864306384
10907434497488713036,15371640659425419341,10545724654297153764
10907434497488713142,15371642958285688929,10546443563880993145
10907434497488712542,15371642253860720655,10545511425559720956
10907434497488713228,15371643126804439136,10545724654297153764
10907434497488713796,15371644500954898502,10545724654297153764
10907434497488713925,15371644952924704794,10546443563731750404
10907434497488713926,15371644988249137233,10545724654297153764
10907434497488714998,15371648163488260163,10545724654277447605
10907434497488715298,15371649264308506646,10691192243909690608
10907434497488715302,15371649271300415548,10691192243909690608
10907434497488715499,15371649944079360092,10907434497472870847
10907434497488715638,15371650362100469799,10545724654277447605
10907434497488716953,15371655794575593552,10907434497472870847
10907434497488717036,15371656336240595003,10546172455192081735
10907434497488717046,15371655441373257826,10545724654297153764
10907434497488717730,15371659158013141036,10545724654297153764
10907434497488719651,15371671901839614001,10545724654297153764
10907434497488719819,15371673370995249223,10546443563807378579
10907434497488720499,15371682638809063476,10907434497298300357
10907434497488720687,15371686275442593865,10545724654297153764
10907434497488722756,15371789848193065003,10907434497331462782
10907434497488723383,15371792371838668836,10546443563789106759
10907434497488723460,15371499360277815326,10546172455165730907
10907434497488723797,15371793350306881618,10546443563741379559
10907434497488723980,15371793711818133511,10545724654287892555
10907434497488724188,15371793972678676562,10545724654287892555
10907434497488724349,15371794128778088545,10545724654287892555
10907434497488724431,15371794289042448434,10545724654287892555
10907434497488724956,15371794862911315986,10546443563903646356
10907434497488724988,15371794900722966621,10546443563741379559
10907434497488725434,15371795461425909796,10691192243945853618
10907434497488725767,15371795904298274829,10907434497371354758
10907434497488725924,15371796097190121498,10907434497371354758
10907434497488726711,15371796837920989256,10546172455172752631
10907434497488726980,15371797079722610690,10546172455169481770
10907434497488727322,15371797345930895432,10546443563903347262
10907434497488729419,15371798780278001688,10546443563727745876
10907434497487355647,15371086879365582928,10546443563911679092
10907434497487361278,15371088273606762546,10546443563911679092
10907434497488729915,15371799149087346736,10546172455207840866
10907434497486925277,15370795877341909080,10546443563911679092
10907434497488730246,15371799316997918751,10546443563912039927
10907434497488730243,15369721132764684288,10546172455171890636
10907434497488397156,15371529425803857973,10545724654290198141
10907434497486905252,15370791153792241696,10546443563911679092
10907434497486905594,15370791232590635098,10546443563911679092
10907434497486906146,15370791028541935621,10546443563911679092
10907434497486907462,15370791674762551308,10546443563911679092
10907434497486908493,15370791916308320307,10546443563911679092
10907434497488730775,15371799599345885277,10546443563912039927
10907434497488731467,15371800018021306465,10546443563683544975
10907434497488732463,15371800258879213580,10546443563734522437
10907434497488732518,15371800482561450033,10546172455166077528
10907434497488733191,15371800842944434231,10546050787360828182
10907434497488733949,15371801214085816326,10545724654302717179
10907434497488017634,15371434281482117209,10545724654290198141
10907434497488020939,15371436559572197460,10545724654290198141
10907434497488734508,15371801451248541728,10545724654287892555
10907434497488734702,15371801508710506582,10907434497344630000
10907434497488735891,15371801834196881433,10546443563667385186
10907434497488736401,15371802035783524408,10546443563732917786
10907434497488738027,15371802669890986060,10545724654302717179
10907434497488738728,15371802933419106340,10546443563876136095
10907434497488738963,15371803000456667152,10545724654292003561
10907434497488739662,15371803250374271009,10546443563668560422
10907434497488739757,15371803272994152524,10546172455158440503
10907434497487110397,15370835776451432470,10545461672704547216
10907434497487703421,15371170759380623370,10545461672704547216
10907434497488741378,15371803810942996573,10546172455188051083
10907434497488741813,15371803983899316237,10907434497411062909
10907434497488742261,15371467899352965206,10546443563967752501
10907434497488742579,15371804254406758478,10546443563796240429
10907434497488743452,15371804556925128756,10546443563800868247
10907434497488636893,15371579573292552261,10546443563922606250
10907434497488744424,15371804872680722520,10546443563732917786
10907434497488611487,15371573602554011686,10545724654283269505
10907434497465210783,15360268041317306409,10546172455172810058
10907434497471726699,15363511576367783988,10546172455172810058
10907434497483342920,15368937337866211421,10546172455172810058
10907434497484248097,15369377657443635288,10546172455172810058
10907434497484257377,15369379882752598041,10546172455172810058
10907434497488745042,15371805056374464564,10907434497429383867
10907434497481226922,15368200553402261529,10546172455158689121
10907434497488749115,15371806297242525780,10545511425554539758
10907434497488749292,15371806358424838212,10545055917999703333
10907434497488749678,15371806487387099232,10546443563877908433
10907434497488749623,15371806465887100969,10546443563881042965
10907434497488750454,15371806732233789504,10545724654280278694
10907434497488750534,15371806758393663532,10546443563922500676
10907434497488753272,15371807618779631682,10691192243933350656
10907434497488754198,15371807911487524939,10546443563994816513
10907434497488754829,15371808100109570073,10546172455176164830
10907434497488754897,15371808109089579072,10546443563982307769
10907434497488755754,15371808301050286093,10546443563694730479
10907434497488755761,15371808311477329963,10546443563925735040
10907434497488755776,15371808317504540706,10546443563807904051
10907434497488755934,15371808361167245342,10546443563674203997
10907434497488756538,15371808522392100962,10546443563683618512
10907434497488757467,15371808689614807064,10546443563675783876
10907434497488758378,15371808873769918481,10545724654302717179
10907434497488758404,15371808879495139406,10545724654287892555
